Country,RegionDetail,Altitude,Year,ProcessingMethod,BeanColor,BagsProduced,Rating
Guatemala,jalapa,1524,2014,Washed / Wet,Green,250,82.75
Costa Rica,tarrazu,1900,2016,Washed / Wet,Green,36,85
Honduras,san marcos,1450,2013,Natural / Dry,Green,275,83.17
Colombia,pitalito,1000,2013,Natural / Dry,Green,250,83
Guatemala,atitlan,1500,2014,Washed / Wet,Blue-Green,250,82.17
Colombia,huila,1480,2014,Washed / Wet,Green,250,84
Guatemala,oriente,1901,2017,Washed / Wet,Green,25,80.92
Mexico,pochutla,1050,2012,Washed / Wet,Green,250,80.42
"Tanzania, United Republic Of",arusha,1400,2014,Washed / Wet,Green,10,84.17
Colombia,huila,1750,2013,Washed / Wet,Blue-Green,250,82.58
Kenya,nyeri,1800,2013,Washed / Wet,Blue-Green,100,84.58
Mexico,la concordia,1550,2012,Washed / Wet,Green,250,82.83
Mexico,tapachula,1400,2012,Washed / Wet,Green,250,78.58
Guatemala,huehuetenango,1700,2014,Washed / Wet,Blue-Green,36,81.25
Mexico,la concordia,1550,2012,Washed / Wet,Green,250,80.42
Mexico,zapotitlan de mendez,1100,2012,Washed / Wet,Green,10,82.5
Colombia,huila,1750,2011,Washed / Wet,Green,250,82.42
Guatemala,san marcos,1700,2017,Washed / Wet,Green,50,79.83
Colombia,huila,1775,2012,Washed / Wet,Green,275,82.5
Guatemala,oriente,1310,2013,Washed / Wet,Green,250,82.33
Guatemala,oriente,1310,2012,Washed / Wet,Green,250,80.17
Guatemala,nuevo oriente,1450,2016,Washed / Wet,Green,275,82.25
Guatemala,oriente,1310,2012,Washed / Wet,Green,250,82.33
Myanmar,pyin oo lwin,3800,2015,Washed / Wet,Green,1,80.5
